County,State,Year,Force,Employed,Unemployed,(%)
Sioux County,ND,2018,"1,250","1,199",51,4.1
Slope County,ND,2018,399,390,9,2.3
Stark County,ND,2018,"18,051","17,611",440,2.4
Steele County,ND,2018,"1,001",981,20,2
Stutsman County,ND,2018,"10,536","10,272",264,2.5
Towner County,ND,2018,"1,196","1,165",31,2.6
Traill County,ND,2018,"4,444","4,327",117,2.6
Walsh County,ND,2018,"5,328","5,160",168,3.2
Ward County,ND,2018,"32,013","31,093",920,2.9
Wells County,ND,2018,"2,017","1,956",61,3
Williams County,ND,2018,"23,910","23,442",468,2
Adams County,OH,2018,"10,851","10,084",767,7.1
Allen County,OH,2018,"47,855","45,708","2,147",4.5
Ashland County,OH,2018,"26,004","24,813","1,191",4.6
Ashtabula County,OH,2018,"44,247","41,917","2,330",5.3
Athens County,OH,2018,"27,741","26,141","1,600",5.8
Auglaize County,OH,2018,"24,540","23,730",810,3.3
Belmont County,OH,2018,"30,588","28,914","1,674",5.5
Brown County,OH,2018,"19,478","18,434","1,044",5.4
Butler County,OH,2018,"193,092","185,115","7,977",4.1
Carroll County,OH,2018,"13,091","12,403",688,5.3
Champaign County,OH,2018,"19,762","19,003",759,3.8
Clark County,OH,2018,"62,963","60,093","2,870",4.6
Clermont County,OH,2018,"105,585","101,261","4,324",4.1
Clinton County,OH,2018,"17,507","16,587",920,5.3
Columbiana County,OH,2018,"47,087","44,651","2,436",5.2
Coshocton County,OH,2018,"14,392","13,506",886,6.2
Crawford County,OH,2018,"18,330","17,378",952,5.2
Cuyahoga County,OH,2018,"612,216","580,166","32,050",5.2
Darke County,OH,2018,"25,814","24,803","1,011",3.9
Defiance County,OH,2018,"18,126","17,325",801,4.4
Delaware County,OH,2018,"107,617","103,996","3,621",3.4
Erie County,OH,2018,"37,757","35,641","2,116",5.6
Fairfield County,OH,2018,"77,307","74,179","3,128",4
Fayette County,OH,2018,"14,079","13,497",582,4.1
Franklin County,OH,2018,"685,914","659,792","26,122",3.8
Fulton County,OH,2018,"22,228","21,247",981,4.4
Gallia County,OH,2018,"12,102","11,361",741,6.1
Geauga County,OH,2018,"48,790","46,676","2,114",4.3
Greene County,OH,2018,"82,136","78,810","3,326",4
Guernsey County,OH,2018,"18,655","17,623","1,032",5.5
Hamilton County,OH,2018,"412,156","395,215","16,941",4.1
Hancock County,OH,2018,"41,318","39,908","1,410",3.4
Hardin County,OH,2018,"14,002","13,391",611,4.4
Harrison County,OH,2018,"6,875","6,514",361,5.3
Henry County,OH,2018,"13,272","12,617",655,4.9
Highland County,OH,2018,"17,038","16,093",945,5.5
Hocking County,OH,2018,"13,112","12,449",663,5.1
Holmes County,OH,2018,"20,592","19,919",673,3.3
Huron County,OH,2018,"27,814","26,173","1,641",5.9
Jackson County,OH,2018,"12,727","11,892",835,6.6
Jefferson County,OH,2018,"27,538","25,793","1,745",6.3
Knox County,OH,2018,"31,155","29,802","1,353",4.3
Lake County,OH,2018,"125,471","119,585","5,886",4.7
Lawrence County,OH,2018,"23,690","22,355","1,335",5.6
Licking County,OH,2018,"89,021","85,502","3,519",4
Logan County,OH,2018,"23,070","22,211",859,3.7
Lorain County,OH,2018,"152,368","144,148","8,220",5.4
Lucas County,OH,2018,"209,136","198,144","10,992",5.3
Madison County,OH,2018,"20,584","19,806",778,3.8
Mahoning County,OH,2018,"103,437","97,293","6,144",5.9
Marion County,OH,2018,"28,395","27,139","1,256",4.4
Medina County,OH,2018,"96,495","92,384","4,111",4.3
Meigs County,OH,2018,"8,876","8,232",644,7.3
Mercer County,OH,2018,"23,528","22,879",649,2.8
Miami County,OH,2018,"53,197","51,115","2,082",3.9
Monroe County,OH,2018,"5,169","4,766",403,7.8
Montgomery County,OH,2018,"250,717","239,367","11,350",4.5
Morgan County,OH,2018,"6,676","6,273",403,6
Morrow County,OH,2018,"16,734","15,974",760,4.5
Muskingum County,OH,2018,"39,379","37,287","2,092",5.3
Noble County,OH,2018,"4,743","4,425",318,6.7
Ottawa County,OH,2018,"20,986","19,663","1,323",6.3
Paulding County,OH,2018,"8,708","8,350",358,4.1
Perry County,OH,2018,"15,880","14,996",884,5.6
Pickaway County,OH,2018,"26,268","25,145","1,123",4.3
Pike County,OH,2018,"10,817","10,109",708,6.5
Portage County,OH,2018,"86,523","82,560","3,963",4.6
Preble County,OH,2018,"21,138","20,275",863,4.1
Putnam County,OH,2018,"18,615","17,988",627,3.4
Richland County,OH,2018,"52,743","50,160","2,583",4.9
Ross County,OH,2018,"34,678","33,100","1,578",4.6
Sandusky County,OH,2018,"30,748","29,352","1,396",4.5
Scioto County,OH,2018,"28,964","27,007","1,957",6.8
Seneca County,OH,2018,"27,129","25,936","1,193",4.4
Shelby County,OH,2018,"23,906","23,007",899,3.8
Stark County,OH,2018,"186,227","177,087","9,140",4.9
Summit County,OH,2018,"270,717","258,083","12,634",4.7
Trumbull County,OH,2018,"87,662","82,193","5,469",6.2
Tuscarawas County,OH,2018,"44,390","42,360","2,030",4.6
Union County,OH,2018,"28,329","27,349",980,3.5
Van Wert County,OH,2018,"14,362","13,856",506,3.5
Vinton County,OH,2018,"5,454","5,114",340,6.2
Warren County,OH,2018,"116,814","112,310","4,504",3.9
Washington County,OH,2018,"27,011","25,489","1,522",5.6
Wayne County,OH,2018,"60,780","58,582","2,198",3.6
Williams County,OH,2018,"18,898","18,214",684,3.6
Wood County,OH,2018,"70,361","67,518","2,843",4
Wyandot County,OH,2018,"12,693","12,283",410,3.2
Adair County,OK,2018,"8,151","7,811",340,4.2
Alfalfa County,OK,2018,"2,940","2,876",64,2.2
Atoka County,OK,2018,"5,121","4,910",211,4.1
Beaver County,OK,2018,"2,958","2,898",60,2
Beckham County,OK,2018,"11,352","11,056",296,2.6
Blaine County,OK,2018,"4,428","4,338",90,2
Bryan County,OK,2018,"21,001","20,343",658,3.1
Caddo County,OK,2018,"12,201","11,766",435,3.6
Canadian County,OK,2018,"72,033","70,030","2,003",2.8
Carter County,OK,2018,"22,149","21,371",778,3.5
Cherokee County,OK,2018,"18,796","18,001",795,4.2
Choctaw County,OK,2018,"5,756","5,470",286,5
Cimarron County,OK,2018,"1,386","1,360",26,1.9
Cleveland County,OK,2018,"142,102","138,014","4,088",2.9
Coal County,OK,2018,"2,278","2,191",87,3.8
Comanche County,OK,2018,"48,566","46,668","1,898",3.9
Cotton County,OK,2018,"2,748","2,662",86,3.1
Craig County,OK,2018,"6,115","5,904",211,3.5
Creek County,OK,2018,"31,623","30,419","1,204",3.8
Custer County,OK,2018,"15,694","15,315",379,2.4
Delaware County,OK,2018,"18,065","17,360",705,3.9
Dewey County,OK,2018,"2,778","2,725",53,1.9
Ellis County,OK,2018,"2,207","2,159",48,2.2
Garfield County,OK,2018,"27,330","26,498",832,3
Garvin County,OK,2018,"12,710","12,293",417,3.3
Grady County,OK,2018,"26,292","25,489",803,3.1
Grant County,OK,2018,"2,742","2,685",57,2.1
Greer County,OK,2018,"1,964","1,886",78,4
Harmon County,OK,2018,"1,200","1,165",35,2.9
Harper County,OK,2018,"1,800","1,759",41,2.3
Haskell County,OK,2018,"4,222","4,007",215,5.1
Hughes County,OK,2018,"5,366","5,142",224,4.2
Jackson County,OK,2018,"10,724","10,397",327,3
Jefferson County,OK,2018,"2,570","2,482",88,3.4
Johnston County,OK,2018,"5,319","5,165",154,2.9
Kay County,OK,2018,"18,989","18,103",886,4.7
Kingfisher County,OK,2018,"8,888","8,701",187,2.1
Kiowa County,OK,2018,"3,526","3,377",149,4.2
Latimer County,OK,2018,"3,219","3,026",193,6
Le Flore County,OK,2018,"19,120","18,240",880,4.6
Lincoln County,OK,2018,"15,952","15,393",559,3.5
Logan County,OK,2018,"21,953","21,290",663,3
Love County,OK,2018,"6,451","6,314",137,2.1
McClain County,OK,2018,"19,424","18,887",537,2.8
McCurtain County,OK,2018,"14,211","13,435",776,5.5
McIntosh County,OK,2018,"6,865","6,463",402,5.9
Major County,OK,2018,"4,005","3,920",85,2.1
Marshall County,OK,2018,"6,705","6,453",252,3.8
Mayes County,OK,2018,"19,694","19,028",666,3.4
Murray County,OK,2018,"6,525","6,338",187,2.9
Muskogee County,OK,2018,"29,238","28,057","1,181",4
Noble County,OK,2018,"5,742","5,593",149,2.6
Nowata County,OK,2018,"4,633","4,439",194,4.2
Okfuskee County,OK,2018,"4,459","4,246",213,4.8
Oklahoma County,OK,2018,"383,860","371,240","12,620",3.3
Okmulgee County,OK,2018,"15,918","15,142",776,4.9
Osage County,OK,2018,"20,848","19,957",891,4.3
Ottawa County,OK,2018,"14,389","13,891",498,3.5
Pawnee County,OK,2018,"7,411","7,105",306,4.1
Payne County,OK,2018,"38,700","37,565","1,135",2.9
Pittsburg County,OK,2018,"17,838","17,145",693,3.9
Pontotoc County,OK,2018,"18,656","18,082",574,3.1
Pottawatomie County,OK,2018,"32,624","31,421","1,203",3.7
Pushmataha County,OK,2018,"4,517","4,284",233,5.2
Roger Mills County,OK,2018,"1,879","1,834",45,2.4
Rogers County,OK,2018,"44,792","43,309","1,483",3.3
Seminole County,OK,2018,"9,514","9,063",451,4.7
Sequoyah County,OK,2018,"16,406","15,699",707,4.3
Stephens County,OK,2018,"18,519","17,789",730,3.9
Texas County,OK,2018,"9,145","8,893",252,2.8
Tillman County,OK,2018,"3,105","2,989",116,3.7
Tulsa County,OK,2018,"322,030","311,265","10,765",3.3
Wagoner County,OK,2018,"37,252","36,008","1,244",3.3
Washington County,OK,2018,"23,014","22,117",897,3.9
Washita County,OK,2018,"5,255","5,094",161,3.1
Woods County,OK,2018,"4,632","4,532",100,2.2
Woodward County,OK,2018,"9,286","9,030",256,2.8
Baker County,OR,2018,"6,976","6,593",383,5.5
Benton County,OR,2018,"48,345","46,810","1,535",3.2
Clackamas County,OR,2018,"218,998","210,750","8,248",3.8
Clatsop County,OR,2018,"19,344","18,549",795,4.1
Columbia County,OR,2018,"24,387","23,148","1,239",5.1
Coos County,OR,2018,"26,460","25,027","1,433",5.4
Crook County,OR,2018,"9,464","8,898",566,6
Curry County,OR,2018,"8,948","8,399",549,6.1
Deschutes County,OR,2018,"95,367","91,347","4,020",4.2
Douglas County,OR,2018,"46,374","43,869","2,505",5.4
Gilliam County,OR,2018,844,811,33,3.9
Grant County,OR,2018,"3,099","2,874",225,7.3
Harney County,OR,2018,"3,417","3,205",212,6.2
Hood River County,OR,2018,"14,533","14,048",485,3.3
Jackson County,OR,2018,"104,763","99,740","5,023",4.8
Jefferson County,OR,2018,"10,241","9,682",559,5.5
Josephine County,OR,2018,"35,929","33,939","1,990",5.5
Klamath County,OR,2018,"29,499","27,602","1,897",6.4
Lake County,OR,2018,"3,496","3,296",200,5.7
Lane County,OR,2018,"181,761","173,596","8,165",4.5
Lincoln County,OR,2018,"21,215","20,184","1,031",4.9
Linn County,OR,2018,"58,551","55,780","2,771",4.7
Malheur County,OR,2018,"12,493","11,918",575,4.6
Marion County,OR,2018,"161,676","154,716","6,960",4.3
Morrow County,OR,2018,"5,732","5,484",248,4.3
Multnomah County,OR,2018,"456,886","440,043","16,843",3.7
Polk County,OR,2018,"39,695","37,959","1,736",4.4
Sherman County,OR,2018,898,861,37,4.1
Tillamook County,OR,2018,"11,857","11,332",525,4.4
Umatilla County,OR,2018,"36,813","34,994","1,819",4.9
Union County,OR,2018,"11,935","11,291",644,5.4
Wallowa County,OR,2018,"3,318","3,115",203,6.1
Wasco County,OR,2018,"13,384","12,806",578,4.3
Washington County,OR,2018,"322,574","311,317","11,257",3.5
Wheeler County,OR,2018,723,698,25,3.5
Yamhill County,OR,2018,"54,524","52,473","2,051",3.8
Adams County,PA,2018,"55,121","53,316","1,805",3.3
Allegheny County,PA,2018,"645,169","619,110","26,059",4
Armstrong County,PA,2018,"32,148","30,533","1,615",5
Beaver County,PA,2018,"84,057","80,234","3,823",4.5
Bedford County,PA,2018,"23,661","22,595","1,066",4.5
Berks County,PA,2018,"212,528","203,686","8,842",4.2
Blair County,PA,2018,"59,555","57,050","2,505",4.2
Bradford County,PA,2018,"28,864","27,605","1,259",4.4
Bucks County,PA,2018,"341,069","328,286","12,783",3.7
Butler County,PA,2018,"98,563","94,719","3,844",3.9
Cambria County,PA,2018,"58,344","55,313","3,031",5.2
Cameron County,PA,2018,"2,143","2,035",108,5
Carbon County,PA,2018,"31,526","29,929","1,597",5.1
Centre County,PA,2018,"79,859","77,274","2,585",3.2
Chester County,PA,2018,"281,572","272,641","8,931",3.2
Clarion County,PA,2018,"17,388","16,566",822,4.7
Clearfield County,PA,2018,"35,744","33,960","1,784",5
Clinton County,PA,2018,"18,328","17,353",975,5.3
Columbia County,PA,2018,"33,495","31,900","1,595",4.8
Crawford County,PA,2018,"38,953","37,127","1,826",4.7
Cumberland County,PA,2018,"130,339","126,005","4,334",3.3
Dauphin County,PA,2018,"142,393","136,730","5,663",4
Delaware County,PA,2018,"295,898","284,018","11,880",4
Elk County,PA,2018,"15,830","15,219",611,3.9
Erie County,PA,2018,"129,260","123,173","6,087",4.7
Fayette County,PA,2018,"57,081","53,754","3,327",5.8
Forest County,PA,2018,"1,817","1,704",113,6.2
Franklin County,PA,2018,"77,064","74,218","2,846",3.7
Fulton County,PA,2018,"7,884","7,573",311,3.9
Greene County,PA,2018,"16,593","15,782",811,4.9
Huntingdon County,PA,2018,"19,810","18,763","1,047",5.3
Indiana County,PA,2018,"38,781","36,875","1,906",4.9
Jefferson County,PA,2018,"20,503","19,550",953,4.6
Juniata County,PA,2018,"12,459","11,960",499,4
Lackawanna County,PA,2018,"105,330","100,502","4,828",4.6
Lancaster County,PA,2018,"281,433","271,891","9,542",3.4
Lawrence County,PA,2018,"40,823","38,741","2,082",5.1
Lebanon County,PA,2018,"71,222","68,545","2,677",3.8
Lehigh County,PA,2018,"190,147","181,379","8,768",4.6
Luzerne County,PA,2018,"157,784","149,255","8,529",5.4
Lycoming County,PA,2018,"57,134","54,394","2,740",4.8
McKean County,PA,2018,"17,869","17,009",860,4.8
Mercer County,PA,2018,"50,087","47,727","2,360",4.7
Mifflin County,PA,2018,"20,787","19,815",972,4.7
Monroe County,PA,2018,"82,004","77,612","4,392",5.4
Montgomery County,PA,2018,"449,387","433,965","15,422",3.4
Montour County,PA,2018,"9,050","8,733",317,3.5
Northampton County,PA,2018,"158,900","151,855","7,045",4.4
Northumberland County,PA,2018,"43,057","40,799","2,258",5.2
Perry County,PA,2018,"24,295","23,388",907,3.7
Philadelphia County/city,PA,2018,"709,586","670,264","39,322",5.5
Pike County,PA,2018,"24,698","23,369","1,329",5.4
Potter County,PA,2018,"7,189","6,806",383,5.3
Schuylkill County,PA,2018,"66,090","62,670","3,420",5.2
Snyder County,PA,2018,"20,324","19,522",802,3.9
Somerset County,PA,2018,"33,553","31,840","1,713",5.1
Sullivan County,PA,2018,"2,693","2,559",134,5
Susquehanna County,PA,2018,"20,483","19,659",824,4
Tioga County,PA,2018,"18,812","17,840",972,5.2
Union County,PA,2018,"19,640","18,910",730,3.7
Venango County,PA,2018,"22,421","21,317","1,104",4.9
Warren County,PA,2018,"19,058","18,209",849,4.5
Washington County,PA,2018,"106,001","101,412","4,589",4.3
Wayne County,PA,2018,"22,367","21,310","1,057",4.7
Westmoreland County,PA,2018,"180,515","172,539","7,976",4.4
Wyoming County,PA,2018,"13,746","13,128",618,4.5
York County,PA,2018,"234,141","225,117","9,024",3.9
Bristol County,RI,2018,"26,082","25,180",902,3.5
Kent County,RI,2018,"90,476","87,130","3,346",3.7
Newport County,RI,2018,"44,657","43,073","1,584",3.5
Providence County,RI,2018,"325,587","311,259","14,328",4.4
Washington County,RI,2018,"69,005","66,529","2,476",3.6
Abbeville County,SC,2018,"10,058","9,658",400,4
Aiken County,SC,2018,"73,944","71,470","2,474",3.3
Allendale County,SC,2018,"2,740","2,581",159,5.8
Anderson County,SC,2018,"89,580","86,663","2,917",3.3
Bamberg County,SC,2018,"4,990","4,665",325,6.5
Barnwell County,SC,2018,"8,343","7,944",399,4.8
Beaufort County,SC,2018,"75,517","73,082","2,435",3.2
Berkeley County,SC,2018,"101,127","98,058","3,069",3
Calhoun County,SC,2018,"6,665","6,382",283,4.2
Charleston County,SC,2018,"206,317","200,598","5,719",2.8
Cherokee County,SC,2018,"25,268","24,351",917,3.6
Chester County,SC,2018,"13,302","12,661",641,4.8
Chesterfield County,SC,2018,"21,952","21,237",715,3.3
Clarendon County,SC,2018,"12,548","11,959",589,4.7
Colleton County,SC,2018,"16,750","16,079",671,4
Darlington County,SC,2018,"30,086","28,859","1,227",4.1
Dillon County,SC,2018,"12,702","12,096",606,4.8
Dorchester County,SC,2018,"75,077","72,808","2,269",3
Edgefield County,SC,2018,"10,538","10,172",366,3.5
Fairfield County,SC,2018,"9,786","9,184",602,6.2
Florence County,SC,2018,"65,996","63,584","2,412",3.7
Georgetown County,SC,2018,"25,520","24,362","1,158",4.5
Greenville County,SC,2018,"248,725","241,431","7,294",2.9
Greenwood County,SC,2018,"30,954","29,825","1,129",3.6
Hampton County,SC,2018,"8,234","7,945",289,3.5
Horry County,SC,2018,"145,798","139,690","6,108",4.2
Jasper County,SC,2018,"12,214","11,845",369,3
Kershaw County,SC,2018,"28,930","27,904","1,026",3.5
Lancaster County,SC,2018,"39,543","38,043","1,500",3.8
Laurens County,SC,2018,"29,857","28,786","1,071",3.6
Lee County,SC,2018,"6,586","6,284",302,4.6
Lexington County,SC,2018,"147,320","143,095","4,225",2.9
McCormick County,SC,2018,"3,406","3,285",121,3.6
Marion County,SC,2018,"12,945","12,232",713,5.5
Marlboro County,SC,2018,"9,157","8,689",468,5.1
Newberry County,SC,2018,"18,656","18,071",585,3.1
Oconee County,SC,2018,"34,900","33,741","1,159",3.3
Orangeburg County,SC,2018,"34,534","32,547","1,987",5.8
Pickens County,SC,2018,"56,262","54,368","1,894",3.4
Richland County,SC,2018,"196,988","190,216","6,772",3.4
Saluda County,SC,2018,"8,808","8,535",273,3.1
Spartanburg County,SC,2018,"147,900","143,296","4,604",3.1
Sumter County,SC,2018,"44,120","42,344","1,776",4
Union County,SC,2018,"11,582","11,102",480,4.1
Williamsburg County,SC,2018,"12,294","11,626",668,5.4
York County,SC,2018,"134,695","130,306","4,389",3.3
Aurora County,SD,2018,"1,557","1,512",45,2.9
Beadle County,SD,2018,"9,519","9,272",247,2.6
Bennett County,SD,2018,"1,074","1,026",48,4.5
Bon Homme County,SD,2018,"2,878","2,805",73,2.5
Brookings County,SD,2018,"19,019","18,481",538,2.8
Brown County,SD,2018,"20,891","20,300",591,2.8
Brule County,SD,2018,"2,536","2,467",69,2.7
Buffalo County,SD,2018,709,667,42,5.9
Butte County,SD,2018,"5,050","4,885",165,3.3
Campbell County,SD,2018,792,761,31,3.9
Charles Mix County,SD,2018,"3,872","3,747",125,3.2
Clark County,SD,2018,"1,892","1,817",75,4
Clay County,SD,2018,"7,250","7,041",209,2.9
Codington County,SD,2018,"15,356","14,890",466,3
Corson County,SD,2018,"1,379","1,322",57,4.1
Custer County,SD,2018,"4,051","3,888",163,4
Davison County,SD,2018,"10,996","10,706",290,2.6
Day County,SD,2018,"2,803","2,684",119,4.2
Deuel County,SD,2018,"2,159","2,063",96,4.4
Dewey County,SD,2018,"2,213","2,018",195,8.8
Douglas County,SD,2018,"1,576","1,534",42,2.7
Edmunds County,SD,2018,"2,100","2,044",56,2.7
Fall River County,SD,2018,"3,011","2,895",116,3.9
Faulk County,SD,2018,"1,098","1,065",33,3
Grant County,SD,2018,"4,449","4,308",141,3.2
Gregory County,SD,2018,"2,048","1,981",67,3.3
Haakon County,SD,2018,"1,080","1,052",28,2.6
Hamlin County,SD,2018,"3,243","3,143",100,3.1
Hand County,SD,2018,"1,827","1,785",42,2.3
Hanson County,SD,2018,"1,777","1,695",82,4.6
Harding County,SD,2018,731,713,18,2.5
Hughes County,SD,2018,"9,890","9,635",255,2.6
Hutchinson County,SD,2018,"3,580","3,478",102,2.8
Hyde County,SD,2018,688,667,21,3.1
Jackson County,SD,2018,"1,278","1,215",63,4.9
Jerauld County,SD,2018,"1,120","1,092",28,2.5
Jones County,SD,2018,556,541,15,2.7
Kingsbury County,SD,2018,"2,675","2,597",78,2.9
Lake County,SD,2018,"6,662","6,435",227,3.4
Lawrence County,SD,2018,"13,076","12,692",384,2.9
Lincoln County,SD,2018,"33,445","32,677",768,2.3
Lyman County,SD,2018,"1,712","1,641",71,4.1
McCook County,SD,2018,"3,083","3,006",77,2.5
McPherson County,SD,2018,"1,034",995,39,3.8
Marshall County,SD,2018,"2,380","2,289",91,3.8
Meade County,SD,2018,"14,107","13,643",464,3.3
Mellette County,SD,2018,758,721,37,4.9
Miner County,SD,2018,"1,199","1,166",33,2.8
Minnehaha County,SD,2018,"110,908","108,017","2,891",2.6
Moody County,SD,2018,"4,012","3,891",121,3
Oglala Lakota County,SD,2018,"3,581","3,211",370,10.3
Pennington County,SD,2018,"56,253","54,533","1,720",3.1
Perkins County,SD,2018,"1,468","1,426",42,2.9
Potter County,SD,2018,"1,105","1,066",39,3.5
Roberts County,SD,2018,"4,856","4,647",209,4.3
Sanborn County,SD,2018,"1,160","1,126",34,2.9
Spink County,SD,2018,"3,238","3,125",113,3.5
Stanley County,SD,2018,"1,829","1,781",48,2.6
Sully County,SD,2018,817,796,21,2.6
Todd County,SD,2018,"3,140","2,946",194,6.2
Tripp County,SD,2018,"3,078","2,999",79,2.6
Turner County,SD,2018,"4,695","4,568",127,2.7
Union County,SD,2018,"8,149","7,888",261,3.2
Walworth County,SD,2018,"2,235","2,126",109,4.9
Yankton County,SD,2018,"11,826","11,514",312,2.6
Ziebach County,SD,2018,933,885,48,5.1
Anderson County,TN,2018,"34,283","32,995","1,288",3.8
Bedford County,TN,2018,"20,592","19,820",772,3.7
Benton County,TN,2018,"6,848","6,512",336,4.9
Bledsoe County,TN,2018,"4,303","4,053",250,5.8
Blount County,TN,2018,"62,275","60,266","2,009",3.2
Bradley County,TN,2018,"50,258","48,455","1,803",3.6
Campbell County,TN,2018,"14,752","14,050",702,4.8
Cannon County,TN,2018,"6,368","6,167",201,3.2
Carroll County,TN,2018,"11,940","11,349",591,4.9
Carter County,TN,2018,"24,002","23,010",992,4.1
Cheatham County,TN,2018,"21,459","20,872",587,2.7
Chester County,TN,2018,"8,422","8,104",318,3.8
Claiborne County,TN,2018,"12,973","12,424",549,4.2
Clay County,TN,2018,"2,857","2,715",142,5
Cocke County,TN,2018,"14,847","14,151",696,4.7
Coffee County,TN,2018,"25,484","24,612",872,3.4
Crockett County,TN,2018,"7,019","6,748",271,3.9
Cumberland County,TN,2018,"23,336","22,319","1,017",4.4
Davidson County,TN,2018,"396,574","386,136","10,438",2.6
Decatur County,TN,2018,"4,734","4,508",226,4.8
DeKalb County,TN,2018,"7,730","7,387",343,4.4
Dickson County,TN,2018,"26,257","25,464",793,3
Dyer County,TN,2018,"16,239","15,497",742,4.6
Fayette County,TN,2018,"18,769","18,069",700,3.7
Fentress County,TN,2018,"7,162","6,863",299,4.2
Franklin County,TN,2018,"19,948","19,276",672,3.4
Gibson County,TN,2018,"21,436","20,481",955,4.5
Giles County,TN,2018,"15,194","14,637",557,3.7
Grainger County,TN,2018,"9,417","9,045",372,4
Greene County,TN,2018,"29,829","28,453","1,376",4.6
Grundy County,TN,2018,"4,886","4,670",216,4.4
Hamblen County,TN,2018,"27,421","26,371","1,050",3.8
Hamilton County,TN,2018,"179,683","173,576","6,107",3.4
Hancock County,TN,2018,"2,031","1,928",103,5.1
Hardeman County,TN,2018,"9,196","8,737",459,5
Hardin County,TN,2018,"10,387","9,932",455,4.4
Hawkins County,TN,2018,"23,706","22,760",946,4
Haywood County,TN,2018,"7,738","7,324",414,5.4
Henderson County,TN,2018,"11,981","11,418",563,4.7
Henry County,TN,2018,"14,231","13,636",595,4.2
Hickman County,TN,2018,"11,160","10,802",358,3.2
Houston County,TN,2018,"3,222","3,044",178,5.5
Humphreys County,TN,2018,"8,813","8,434",379,4.3
Jackson County,TN,2018,"4,602","4,385",217,4.7
Jefferson County,TN,2018,"24,009","23,092",917,3.8
Johnson County,TN,2018,"7,613","7,350",263,3.5
Knox County,TN,2018,"240,034","232,986","7,048",2.9
Lake County,TN,2018,"1,804","1,711",93,5.2
Lauderdale County,TN,2018,"9,619","9,065",554,5.8
Lawrence County,TN,2018,"18,309","17,570",739,4
Lewis County,TN,2018,"5,072","4,847",225,4.4
Lincoln County,TN,2018,"16,408","15,902",506,3.1
Loudon County,TN,2018,"22,857","22,078",779,3.4
McMinn County,TN,2018,"22,719","21,791",928,4.1
McNairy County,TN,2018,"8,477","8,020",457,5.4
Macon County,TN,2018,"10,991","10,638",353,3.2
Madison County,TN,2018,"48,664","46,832","1,832",3.8
Marion County,TN,2018,"12,265","11,690",575,4.7
Marshall County,TN,2018,"15,332","14,804",528,3.4
Maury County,TN,2018,"47,485","45,949","1,536",3.2
Meigs County,TN,2018,"5,061","4,833",228,4.5
Monroe County,TN,2018,"19,943","19,203",740,3.7
Montgomery County,TN,2018,"83,866","80,679","3,187",3.8
Moore County,TN,2018,"3,536","3,429",107,3
Morgan County,TN,2018,"7,860","7,509",351,4.5
Obion County,TN,2018,"12,291","11,683",608,4.9
Overton County,TN,2018,"9,818","9,449",369,3.8
Perry County,TN,2018,"3,233","3,094",139,4.3
Pickett County,TN,2018,"2,446","2,353",93,3.8
Polk County,TN,2018,"7,281","6,976",305,4.2
Putnam County,TN,2018,"34,330","33,111","1,219",3.6
Rhea County,TN,2018,"13,026","12,295",731,5.6
Roane County,TN,2018,"23,153","22,201",952,4.1
Robertson County,TN,2018,"36,975","35,815","1,160",3.1
Rutherford County,TN,2018,"176,691","171,941","4,750",2.7
Scott County,TN,2018,"8,481","8,116",365,4.3
Sequatchie County,TN,2018,"6,041","5,779",262,4.3
Sevier County,TN,2018,"53,097","51,242","1,855",3.5
Shelby County,TN,2018,"442,379","424,005","18,374",4.2
Smith County,TN,2018,"9,145","8,866",279,3.1
Stewart County,TN,2018,"5,176","4,917",259,5
Sullivan County,TN,2018,"70,100","67,509","2,591",3.7
Sumner County,TN,2018,"98,706","95,960","2,746",2.8
Tipton County,TN,2018,"27,895","26,719","1,176",4.2
Trousdale County,TN,2018,"4,888","4,729",159,3.3
Unicoi County,TN,2018,"7,065","6,719",346,4.9
Union County,TN,2018,"7,463","7,159",304,4.1
Van Buren County,TN,2018,"2,046","1,949",97,4.7
Warren County,TN,2018,"16,736","16,075",661,3.9
Washington County,TN,2018,"59,859","57,747","2,112",3.5
Wayne County,TN,2018,"6,109","5,811",298,4.9
Weakley County,TN,2018,"16,008","15,333",675,4.2
White County,TN,2018,"11,907","11,468",439,3.7
Williamson County,TN,2018,"123,205","120,149","3,056",2.5
Wilson County,TN,2018,"73,090","71,059","2,031",2.8
Anderson County,TX,2018,"23,561","22,833",728,3.1
Andrews County,TX,2018,"9,382","9,157",225,2.4
Angelina County,TX,2018,"36,211","34,622","1,589",4.4
Aransas County,TX,2018,"10,314","9,725",589,5.7
Archer County,TX,2018,"4,184","4,055",129,3.1
Armstrong County,TX,2018,926,900,26,2.8
Atascosa County,TX,2018,"21,247","20,447",800,3.8
Austin County,TX,2018,"14,015","13,506",509,3.6
Bailey County,TX,2018,"2,655","2,539",116,4.4
Bandera County,TX,2018,"9,920","9,582",338,3.4
Bastrop County,TX,2018,"41,491","40,096","1,395",3.4
Baylor County,TX,2018,"1,566","1,515",51,3.3
Bee County,TX,2018,"9,977","9,470",507,5.1
Bell County,TX,2018,"142,270","136,410","5,860",4.1
Bexar County,TX,2018,"940,900","909,581","31,319",3.3
Blanco County,TX,2018,"6,250","6,086",164,2.6
Borden County,TX,2018,349,338,11,3.2
Bosque County,TX,2018,"8,220","7,916",304,3.7
Bowie County,TX,2018,"39,495","37,542","1,953",4.9
